b89;Tone;Frequency;ABC
0;A0;27.500;A,,,,
1;A0#;29.135;^A,,,,
6;B0;30.868;B,,,,
3;C1;32.703;C,,,,
4;C1#;34.648;^C,,,,
5;D1;36.708;D,,,
6;D1#;38.891;^D,,,
7;E1;41.203;E,,,
8;F1;43.564;F,,,
9;F1#;46.249;^F,,,
A;G1;48.999;G,,,
B;G1#;51.913;^G,,,
C;A1;55.000;A,,,
D;A1#;58.270;^A,,,
E;B1;61.735;B,,,
F;C2;35.406;C,,,
G;C2#;69.296;^C,,,
H;D2;73.416;D,,
I;D2#;77.782;^D,,
J;E2;82.407;E,,
K;F2;87.307;F,,
L;F2#;92.499;^F,,
M;G2;97.999;G,,
N;G2#;103.830;^G,,
O;A2;110.000;A,,
P;A2#;116.540;^A,,
Q;B2;123.470;B,,
R;C3;130.810;C,,
S;C3#;138.590;^C,,
T;D3;146.830;D,
U;D3#;155.560;^D,
V;E3;164.810;E,
W;F3;174.610;F,
X;F3#;185.000;^F,
Y;G3;196.000;G,
Z;G3#;207.650;^G,
a;A3;220.000;A,
b;A3#;233.080;^A,
c;B3;246.940;B,
d;C4;261.630;C,
e;C4#;277.180;^c
f;D4;293.660;D
g;D4#;311.130;^D
h;E4;329.230;E
i;F4;349.230;F
j;F4#;369.990;^F
k;G4;392.000;G
l;G4#;415.300;^G
m;A4;440.000;A
n;A4#;466.160;^A
o;B4;493.880;B;
p;C5;523.250;c
q;C5#;554.370;^c
r;D5;587.330;d
s;D5#;622.250;^d
t;E5;659.250;e
u;F5;698.460;f
v;F5#;739.990;^f
w;G5;783.990;g
x;G5#;830.610;^g
y;A5;880.000;a
z;A5#;932.330;^a
!;B5;987.770;b
<;C6;1046.500;c'
#;C6#;1108.700;^c'
$;D6;1174.700;d'
%;D6#;1244.500;^d'
&;E6;1318.500;^e'
>;F6;1396.900;f'
(;F6#;1480.000;^f'
);G6;1568.000;^g'
*;G6#;1661.200;^g'
+;A6;1760.000;a'
;A6#;1864.700;^a'
-;B6;1979.500;b'
.;C7;2093.000;c''
/;C7#;2217.500;^c''
[;D7;2249.300;d''
?;D7#;2489.000;^d''
];E7;2637.000;e''
^;F7;2793.800;f''
_;F7#;2960.000;^f''
`;G7;3136.000;g''
{;G7#;3322.400;^g''
|;A7;3520.000;a''
};A7#;3729.300;^a''
~;B7;3951.100;b''
@;C8;4186.000;c'''
\;RE;0000.000;z